Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
English,Others,academia,89,36,43,10,0.4313635877176617,0.3707516306822889,0.1978847780317235,academia
English,PhD Student,academia,81,46,15,20,0.4616615595181047,0.3095215851510012,0.2288168510882023,academia
English,PostDoc,academia,339,135,164,40,0.4357623798789176,0.3736918003498892,0.1905458185761331,academia
English,Professor,academia,189,86,77,26,0.4738495173277678,0.3449159284669255,0.1812345508643716,academia
English,Unknown,academia,110,68,34,8,0.5417971967296167,0.3185775268484245,0.1396252708848227,academia
English,Others,career,60,11,40,9,0.3022161869642635,0.4792289469391108,0.2185548565971354,arbeit
English,PostDoc,career,128,40,74,14,0.3531741206243168,0.4391143898828886,0.2077114915300626,arbeit
English,Professor,career,83,30,43,10,0.3686470939631922,0.4133369703608823,0.2180159368989876,arbeit
English,Others,contract,109,39,60,10,0.3867658911905157,0.4599490875224454,0.1532850223038038,vertrag
English,PostDoc,contract,163,36,117,10,0.3169285895794264,0.511844365051919,0.1712270464371044,vertrag
English,Professor,contract,103,34,65,4,0.3831032375687534,0.463437319850748,0.1534594430958906,vertrag
English,Others,germany,88,27,42,19,0.3567452234089036,0.4072686317800121,0.2359861411281268,deutschland
English,PhD Student,germany,53,25,19,9,0.4606717639374283,0.3485030535397664,0.1908251956140376,deutschland
English,PostDoc,germany,187,78,91,18,0.4300269603251136,0.4091798583952022,0.1607931779627812,deutschland
English,Professor,germany,122,58,49,15,0.4591010142667371,0.3786730329643507,0.1622259552651619,deutschland
English,Unknown,germany,98,55,33,10,0.5214546860328743,0.3337758293147294,0.1447694878455023,deutschland
English,Others,job,69,24,34,11,0.3934323985291564,0.3989718106939741,0.2075957923155764,arbeit
English,PostDoc,job,159,61,79,19,0.4169329371795339,0.3867280729372734,0.1963389917516952,arbeit
English,Professor,job,126,51,60,15,0.4167254002143939,0.3875611917307925,0.1957134073452344,arbeit
German,Others,job,113,47,56,10,0.4091222399961104,0.4301588896793865,0.1607188669206426,arbeit
German,PostDoc,job,125,51,54,20,0.4005290447175503,0.386628269508481,0.2128426834195852,arbeit
German,Professor,job,89,28,48,13,0.3681533337476548,0.4178489541027988,0.213997710349687,arbeit
German,Unknown,job,157,70,70,17,0.4738443248733214,0.3591529720694206,0.1670027067172964,arbeit
English,Others,position,66,14,48,4,0.2964678199284456,0.5302052384976185,0.1733269437470219,stelle
English,PostDoc,position,135,42,84,9,0.3821259436783967,0.4580144004137427,0.1598596549420445,stelle
English,Professor,position,99,27,57,15,0.3077033779988385,0.488171408498528,0.2041252083944702,stelle
German,PostDoc,position,76,22,47,7,0.3351343650811989,0.5209481845560827,0.1439174507793627,stelle
English,Others,research,84,21,43,20,0.2801959725939447,0.4396377078124455,0.2801663146709047,research
English,PostDoc,research,170,39,92,39,0.2823790989049217,0.4452115998986889,0.2724093061488341,research
English,Professor,research,86,16,52,18,0.2791714221022503,0.4659436539811797,0.2548849206785996,research
English,Unknown,research,62,22,30,10,0.3949002238411095,0.4010574574311895,0.2040423202899194,research
English,Others,researcher,87,37,45,5,0.4347076128697258,0.4145859366004494,0.1507064418803001,research
English,PostDoc,researcher,96,35,46,15,0.382975543422314,0.4162627999515583,0.2007616519598135,research
English,Professor,researcher,62,19,37,6,0.3814531218020185,0.4035976607232324,0.2149492191871808,research
English,Others,science,64,14,38,12,0.2779906377545558,0.4734325763420202,0.2485767855396261,wissenschaft
English,PostDoc,science,79,29,44,6,0.4143470612979388,0.4285440205395976,0.1571089176083856,wissenschaft
English,Others,term,56,14,36,6,0.348659772492413,0.4576607260720006,0.1936794985418341,wort
English,PostDoc,term,87,14,68,5,0.2893336252362906,0.4991709783502008,0.2114954065403033,wort
English,Professor,term,52,16,33,3,0.4030230992402022,0.4174260626045557,0.179550843922278,wort
English,Others,time,63,16,37,10,0.3137922234064529,0.4497471688877022,0.2364606038327255,zeit
English,PostDoc,time,146,48,80,18,0.3851521709831814,0.39576632134004,0.2190815109555443,zeit
English,Professor,time,91,22,56,13,0.3409513005434156,0.4481101316901353,0.2109385734874304,zeit
English,Others,university,63,30,24,9,0.4466903257287211,0.3667742333833187,0.1865354373104988,academia
English,PostDoc,university,101,29,64,8,0.3650398188003219,0.4643980685142007,0.1705621135153688,academia
English,Professor,university,93,36,47,10,0.4226800790156728,0.3932942116372688,0.1840257091868308,academia
English,Others,year,56,10,36,10,0.2676897554192692,0.4780158805660903,0.2542943627507026,jahr
English,PhD Student,year,69,37,23,9,0.4985712652189144,0.3262489124916602,0.1751798172683819,jahr
English,PostDoc,year,198,55,115,28,0.356915796645964,0.4365297115191516,0.2065544887963268,jahr
English,Professor,year,129,29,77,23,0.3113308857779863,0.4376779574063397,0.2509911539495106,jahr
English,Unknown,year,67,26,36,5,0.3862818094220624,0.4327841031351196,0.1809340768507612,jahr
English,PostDoc,academic,313,107,177,29,0.4141380762675414,0.3835665061355779,0.2022954089561114,academia
English,Professor,academic,221,72,115,34,0.3965303119423702,0.3750774212080429,0.2283922619485545,academia
English,PostDoc,change,100,35,56,9,0.3845259286090731,0.4112821001559495,0.2041919720731675,mittelbau
English,PostDoc,condition,103,25,77,1,0.3960117716161371,0.4303955986589483,0.1735926406566524,situation
English,PostDoc,day,56,17,23,16,0.3332572448666074,0.3602274358272552,0.3065153208029057,mittelbau
English,PostDoc,discussion,57,10,32,15,0.2319384984051188,0.4684485603581395,0.2996129484422374,thema
English,PostDoc,life,69,22,43,4,0.3968125244845514,0.43144851901393,0.171738958094215,arbeit
English,PostDoc,people,127,56,54,17,0.4518651745216114,0.3764979965750157,0.1716368245180901,mensch
English,Professor,people,77,41,22,14,0.4992956541865677,0.3095776357192111,0.1911267066592133,mensch
English,Unknown,people,54,39,11,4,0.6037983578388337,0.2949816634257634,0.101219978597429,mensch
English,PostDoc,postdoc,108,33,60,15,0.3355988293403276,0.466384237597662,0.1980169377099998,promotion
English,Professor,postdoc,63,13,33,17,0.2983985260602028,0.4333399183575123,0.2682615455742629,promotion
German,Others,postdoc,98,28,64,6,0.3382685720464404,0.5295979479061705,0.1321334805130502,promotion
German,PostDoc,postdoc,228,61,155,12,0.3343435271005881,0.5387711402747715,0.1268853304270459,promotion
German,Professor,postdoc,207,67,130,10,0.3718048429953447,0.5058352245368819,0.1223599282970679,promotion
German,Unknown,postdoc,88,36,48,4,0.4120516418479383,0.4790527620776133,0.1088956019375473,promotion
English,PostDoc,precarity,73,54,14,5,0.6430944208412954,0.2513080620245166,0.1055975139957584,mittelbau
English,PostDoc,problem,83,61,15,7,0.5911597450634083,0.2934745358953993,0.1153657182445188,problem
German,Others,problem,217,159,49,9,0.6000469246115278,0.3282736602672783,0.0716794128207841,problem
German,PD,problem,71,47,24,0,0.5899685171078628,0.3495077367504717,0.0605237484371788,problem
