Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
Others,English,academia,89,academia,42,29,18
PhD Student,English,academia,81,academia,47,11,23
PostDoc,English,academia,339,academia,200,63,76
Professor,English,academia,189,academia,122,24,43
Unknown,English,academia,110,academia,71,21,18
Others,English,career,60,arbeit,20,27,13
PostDoc,English,career,128,arbeit,79,25,24
Professor,English,career,83,arbeit,45,18,20
Others,English,contract,109,vertrag,55,42,12
PostDoc,English,contract,164,vertrag,93,53,18
Professor,English,contract,103,vertrag,54,26,23
Others,English,germany,88,deutschland,32,28,28
PhD Student,English,germany,53,deutschland,33,10,10
PostDoc,English,germany,187,deutschland,109,38,40
Professor,English,germany,122,deutschland,78,22,22
Unknown,English,germany,98,deutschland,71,15,12
Others,English,job,69,arbeit,32,18,19
PostDoc,English,job,159,arbeit,99,27,33
Professor,English,job,126,arbeit,83,25,18
Others,German,job,113,arbeit,66,33,14
PostDoc,German,job,125,arbeit,76,26,23
Professor,German,job,89,arbeit,39,31,19
Unknown,German,job,157,arbeit,110,27,20
Others,English,position,66,stelle,22,35,9
PostDoc,English,position,136,stelle,83,33,20
Professor,English,position,99,stelle,45,31,23
PostDoc,German,position,76,stelle,34,30,12
Others,English,research,84,research,28,31,25
PostDoc,English,research,170,research,79,44,47
Professor,English,research,86,research,36,25,25
Unknown,English,research,62,research,34,18,10
Others,English,researcher,87,research,54,22,11
PostDoc,English,researcher,96,research,59,16,21
Professor,English,researcher,62,research,30,16,16
Others,English,science,64,wissenschaft,17,27,20
PostDoc,English,science,79,wissenschaft,43,22,14
Others,English,term,56,wort,23,24,9
PostDoc,English,term,87,wort,51,23,13
Professor,English,term,52,wort,39,8,5
Others,English,time,63,zeit,21,20,22
PostDoc,English,time,146,zeit,100,15,31
Professor,English,time,91,zeit,43,30,18
Others,English,university,63,academia,33,15,15
PostDoc,English,university,101,academia,59,24,18
Professor,English,university,93,academia,62,13,18
Others,English,year,56,jahr,24,17,15
PhD Student,English,year,69,jahr,42,14,13
PostDoc,English,year,198,jahr,120,37,41
Professor,English,year,129,jahr,68,32,29
Unknown,English,year,67,jahr,42,19,6
PostDoc,English,academic,313,academia,180,63,70
Professor,English,academic,221,academia,135,35,51
PostDoc,English,change,100,mittelbau,51,27,22
PostDoc,English,condition,103,situation,53,22,28
PostDoc,English,day,56,mittelbau,25,12,19
PostDoc,English,discussion,57,thema,24,16,17
PostDoc,English,life,70,arbeit,43,16,11
PostDoc,English,people,127,mensch,83,27,17
Professor,English,people,77,mensch,51,12,14
Unknown,English,people,54,mensch,47,5,2
PostDoc,English,postdoc,108,promotion,57,22,29
Professor,English,postdoc,63,promotion,35,17,11
Others,German,postdoc,98,promotion,46,43,9
PostDoc,German,postdoc,228,promotion,127,75,26
Professor,German,postdoc,207,promotion,120,67,20
Unknown,German,postdoc,88,promotion,57,25,6
PostDoc,English,precarity,73,mittelbau,58,9,6
PostDoc,English,problem,83,problem,60,15,8
Others,German,problem,217,problem,165,39,13
PD,German,problem,71,problem,51,19,1
PhD Student,German,problem,89,problem,76,11,2
PostDoc,German,problem,367,problem,280,63,24
Professor,German,problem,296,problem,229,51,16
Unknown,German,problem,232,problem,190,30,12
PostDoc,English,scholar,82,wissenschaft,60,9,13
Unknown,English,scholar,55,wissenschaft,45,7,3
PostDoc,English,scientist,69,wissenschaft,48,14,7
PostDoc,English,student,73,academia,35,20,18
Professor,English,student,61,academia,34,10,17
PostDoc,English,system,186,wissenschaft,129,35,22
Professor,English,system,102,wissenschaft,74,10,18
Others,German,system,195,wissenschaft,121,47,27
PD,German,system,71,wissenschaft,53,16,2
PhD Student,German,system,86,wissenschaft,63,15,8
PostDoc,German,system,398,wissenschaft,268,90,40
Professor,German,system,329,wissenschaft,227,68,34
Unknown,German,system,198,wissenschaft,145,33,20
PostDoc,English,thing,59,jahr,36,6,17
PostDoc,English,thread,73,thema,28,25,20
Others,German,thread,79,thema,24,32,23
PostDoc,German,thread,175,thema,58,62,55
Professor,German,thread,94,thema,36,25,33
PostDoc,English,way,64,zukunft,40,10,14
PostDoc,English,work,300,arbeit,160,59,81
Professor,English,work,138,arbeit,70,33,35
Unknown,English,work,127,arbeit,78,22,27
Professor,English,colleague,54,arbeit,26,6,22
Professor,English,professor,59,professur,28,15,16
Others,German,professor,69,professur,32,29,8
PostDoc,German,professor,164,professur,98,51,15
Professor,German,professor,102,professur,53,37,12
Unknown,German,professor,78,professur,57,16,5
Unknown,English,passport,61,mittelbau,50,4,7
Others,German,antwort,70,problem,33,29,8
PostDoc,German,antwort,91,problem,46,32,13
Professor,German,antwort,88,problem,47,29,12
Others,German,arbeit,274,arbeit,131,99,44
PD,German,arbeit,52,arbeit,24,20,8
PhD Student,German,arbeit,86,arbeit,44,24,18
PostDoc,German,arbeit,365,arbeit,178,112,75
Professor,German,arbeit,260,arbeit,134,89,37
Unknown,German,arbeit,200,arbeit,106,61,33
Others,German,arbeitsbedingung,261,arbeit,107,122,32
PhD Student,German,arbeitsbedingung,52,arbeit,19,23,10
PostDoc,German,arbeitsbedingung,221,arbeit,113,69,39
Professor,German,arbeitsbedingung,183,arbeit,86,67,30
Unknown,German,arbeitsbedingung,155,arbeit,107,36,12
Others,German,arbeitsverhältnis,67,arbeit,34,29,4
Others,German,arbeitsvertrag,57,vertrag,25,25,7
PostDoc,German,arbeitsvertrag,73,vertrag,30,34,9
Unknown,German,arbeitsvertrag,75,vertrag,41,26,8
Others,German,bedingung,69,grund,41,19,9
PostDoc,German,bedingung,100,grund,52,32,16
Professor,German,bedingung,76,grund,41,25,10
Others,German,befristung,149,befristung,87,56,6
PD,German,befristung,55,befristung,22,27,6
PostDoc,German,befristung,145,befristung,90,38,17
Professor,German,befristung,148,befristung,87,48,13
Unknown,German,befristung,107,befristung,62,39,6
Others,German,beitrag,86,projekt,23,35,28
PostDoc,German,beitrag,138,projekt,46,42,50
Professor,German,beitrag,88,projekt,23,38,27
Unknown,German,beitrag,59,projekt,27,15,17
Others,German,bereich,69,hanna,25,34,10
PostDoc,German,bereich,78,hanna,37,35,6
