Category,Language,Aspect_Adj,Count
PostDoc,English,academia___german,87
Others,German,vertrag___befristet,74
Others,German,wissenschaft___prekär,72
PostDoc,English,academic___german,70
PostDoc,German,universität___hierarchisch,66
PostDoc,German,universität___österreichisch,65
PostDoc,German,universität___demokratiepolitisch,64
PostDoc,German,sauerei___hierarchisch,64
PostDoc,German,sauerei___österreichisch,64
PostDoc,German,sauerei___demokratiepolitisch,64
PostDoc,English,system___german,63
Professor,German,track___tenur,62
PostDoc,German,vertrag___befristet,62
PostDoc,English,system___academic,62
Professor,English,academic___german,61
Professor,German,stelle___unbefristet,58
Unknown,German,vertrag___befristet,56
PostDoc,German,wissenschaft___prekär,52
PostDoc,German,stelle___unbefristet,52
PostDoc,German,universität___verfasstheit,51
Unknown,German,jahr___befristet,51
PostDoc,German,sauerei___verfasstheit,51
PostDoc,German,jahr___lang,50
Others,German,arbeitsbedingung___prekär,48
Professor,German,arbeitsbedingung___prekär,47
Professor,English,academia___german,46
Professor,German,vertrag___befristet,44
Professor,German,wissenschaft___prekär,42
PostDoc,German,wissenschaftssystem___deutsch,42
PostDoc,German,arbeitsbedingung___prekär,42
PostDoc,English,condition___precarious,41
PostDoc,English,position___permanent,40
PostDoc,English,work___academic,40
PostDoc,German,jahr___befristet,40
Professor,English,system___german,39
PostDoc,German,stelle___befristet,38
Professor,German,jahr___befristet,38
PostDoc,English,work___precarious,38
PostDoc,German,uni___deutsch,37
PostDoc,English,work___german,37
PostDoc,German,track___tenur,35
PostDoc,German,stunde___aktuell,35
PostDoc,German,wissenschaft___aktuell,35
Professor,German,stelle___befristet,35
PostDoc,English,career___early,34
Others,German,wissenschaftler___befristet,34
Professor,English,position___permanent,34
PostDoc,English,career___academic,34
PostDoc,English,job___academic,33
Professor,English,system___academic,33
Unknown,English,academia___german,33
PostDoc,German,wissenschaft___deutsch,32
PostDoc,English,university___german,32
Others,German,jahr___befristet,32
PostDoc,English,contract___german,31
Unknown,German,stelle___unbefristet,31
Others,German,stelle___unbefristet,31
Others,German,wissenschaft___befristet,31
Unknown,German,wissenschaft___prekär,30
Others,German,daueraufgabe___dauerstell,29
Professor,English,germany___academic,29
Others,German,nachwuchs___wissenschaftlich,29
PostDoc,German,wissenschaft___wissenschaftlich,29
Unknown,German,jahr___lang,29
Professor,English,career___academic,29
PostDoc,German,jahr___alt,28
PostDoc,German,jahr___unbefristet,28
PostDoc,German,karriere___wissenschaftlich,28
PostDoc,English,year___german,28
Others,German,mittelbau___akademisch,28
Unknown,German,stelle___befristet,28
PostDoc,German,problem___strukturell,28
PostDoc,English,researcher___german,28
Professor,German,wissenschaft___gut,27
Professor,German,professur___befristet,27
Professor,German,jahr___lang,27
PostDoc,English,condition___german,27
PostDoc,German,nachwuchs___wissenschaftlich,27
Unknown,German,jahr___alt,27
Professor,English,university___german,26
PostDoc,English,germany___academic,26
Professor,English,job___academic,26
Professor,German,nachwuchs___wissenschaftlich,26
PostDoc,German,stelle___fest,25
Others,German,wissenschaftler___prekär,25
PostDoc,English,academia___precarious,25
PostDoc,German,wissenschaftler___befristet,25
Professor,German,stelle___fest,25
PostDoc,English,academia___academic,25
Professor,German,karriere___wissenschaftlich,24
Unknown,German,arbeitsbedingung___prekär,24
Professor,English,job___german,24
Others,German,beschäftigung___prekär,24
PostDoc,German,wissenschaft___wichtig,24
PostDoc,German,jahr___deutsch,24
Others,German,karriere___wissenschaftlich,24
Unknown,German,jahr___unbefristet,24
Others,German,hochschule___prekär,24
PostDoc,English,job___permanent,24
Others,German,jahr___lang,24
Others,German,mitarbeiter___wissenschaftlich,24
PostDoc,German,universität___deutsch,23
PostDoc,German,jahr___nächst,23
PostDoc,English,research___academic,23
Others,German,stelle___befristet,23
Others,German,arbeitsbedingung___schlecht,23
Professor,English,position___german,23
PostDoc,English,academia___permanent,23
PostDoc,German,jahr___wissenschaftlich,23
PostDoc,German,uni___befristet,23
PostDoc,German,mitarbeiter___wissenschaftlich,23
PostDoc,German,uni___lang,22
Professor,English,contract___german,22
PostDoc,English,germany___german,22
PostDoc,English,contract___short,22
Professor,English,work___german,22
PostDoc,German,beschäftigung___prekär,22
PostDoc,English,research___german,22
PostDoc,German,wissenschaft___gut,22
Professor,English,germany___german,21
PostDoc,English,contract___permanent,21
PostDoc,German,wissenschaft___befristet,21
PostDoc,German,thread___wichtig,21
Professor,German,problem___strukturell,21
PostDoc,English,job___german,21
Professor,English,academia___academic,20
Others,English,term___short,20
Professor,German,wissenschaftler___prekär,20
PostDoc,English,contract___academic,20
Professor,German,wissenschaftssystem___deutsch,20
PostDoc,German,postdoc___befristet,20
PostDoc,English,term___short,20
Professor,German,professur___unbefristet,20
Professor,English,position___academic,20
Others,German,arbeitsvertrag___befristet,20
Professor,German,wissenschaft___schlecht,20
PostDoc,English,year___academic,20
Others,German,jahr___alt,19
PostDoc,English,position___german,19
Others,German,stunde___aktuell,19
Professor,English,academia___permanent,19
Others,German,wissenschaft___gut,19
Professor,German,arbeit___prekär,19
Unknown,German,vertrag___unbefristet,19
Professor,German,wissenschaft___wissenschaftlich,19
PostDoc,German,jahr___kurz,19
PostDoc,English,time___german,19
Others,German,arbeit___prekär,19
Others,German,uni___befristet,19
Unknown,English,work___german,19
PostDoc,German,uni___unbefristet,18
Others,German,hochschule___deutsch,18
Professor,German,mitarbeiter___wissenschaftlich,18
Unknown,German,uni___unbefristet,18
PostDoc,English,problem___german,18
Others,German,wissenschaft___wissenschaftlich,18
Others,German,jahr___prekär,18
Others,German,wissenschaftler___deutsch,18
PostDoc,German,jahr___aktuell,18
Professor,German,jahr___unbefristet,18
Professor,English,work___academic,18
Others,German,uni___prekär,18
Professor,English,academic___permanent,18
PostDoc,German,zeit___lang,18
Professor,English,academic___precarious,18
PostDoc,English,career___german,18
Others,German,deutschland___prekär,18
PostDoc,German,arbeit___prekär,18
Others,German,uni___lang,18
Professor,German,wissenschaft___aktuell,18
PostDoc,English,thread___german,18
Professor,English,year___academic,17
Professor,German,uni___befristet,17
PostDoc,German,jahr___gut,17
Others,English,academia___german,17
Professor,English,contract___academic,17
Professor,German,jahr___alt,17
PostDoc,English,term___academic,17
PostDoc,English,researcher___early,17
Professor,English,year___permanent,17
PostDoc,German,zeit___befristet,17
PostDoc,German,personal___wissenschaftlich,17
PostDoc,English,change___academic,17
Others,German,hochschule___wissenschaftlich,17
Others,English,contract___short,17
PhD Student,German,vertrag___befristet,17
Others,German,wissenschaft___aktuell,17
Professor,English,research___academic,17
Others,German,jahr___wissenschaftlich,17
PostDoc,English,precarity___academic,17
PostDoc,German,wissenschaftler___prekär,17
Others,German,uhr___prekär,17
Professor,English,job___permanent,17
Professor,German,stelle___halb,17
PostDoc,English,term___long,17
Others,German,arbeit___wissenschaftlich,17
Professor,German,jahr___tenur,17
PostDoc,English,people___academic,17
Professor,German,stelle___entfristet,17
PostDoc,German,wissenschaft___unbefristet,17
Unknown,German,wissenschaft___aktuell,17
PostDoc,English,scholar___german,16
PostDoc,German,situation___prekär,16
Professor,German,problem___groß,16
Unknown,German,uni___prekär,16
Unknown,German,jahr___nächst,16
Others,English,researcher___german,16
Professor,German,jahr___groß,16
Professor,German,jahr___gut,16
PostDoc,English,term___german,16
Professor,English,contract___permanent,16
Professor,German,wissenschaft___groß,16
PostDoc,English,people___german,16
PostDoc,English,research___permanent,16
Professor,English,term___german,16
PostDoc,German,problem___deutsch,16
PostDoc,German,system___aktuell,16
Unknown,German,karriere___wissenschaftlich,16
Others,English,germany___german,16
PostDoc,English,time___academic,16
PostDoc,German,promotion___wissenschaftlich,16
Others,German,arbeitsverhältnis___prekär,16
Professor,German,jahr___prekär,16
PostDoc,English,year___permanent,16
Others,German,wissenschaft___deutsch,16
PostDoc,German,mittelbau___akademisch,16
PostDoc,English,discussion___german,16
Unknown,German,arbeitsvertrag___befristet,16
PostDoc,German,vertrag___unbefristet,16
PostDoc,German,thema___aktuell,16
Professor,German,promotion___unbefristet,16
Professor,English,year___german,16
Professor,German,wissenschaft___exzellent,16
PostDoc,German,deutschland___prekär,15
PostDoc,German,problem___groß,15
PostDoc,German,stelle___halb,15
Others,German,stelle___fest,15
PostDoc,German,system___akademisch,15
PostDoc,English,contract___temporary,15
PostDoc,German,professur___unbefristet,15
Professor,German,professur___tenur,15
Others,German,jahr___kurz,15
Others,English,contract___german,15
Others,German,forschung___prekär,15
Unknown,German,forschung___wissenschaftlich,15
PostDoc,English,researcher___academic,15
Others,German,hochschule___studentisch,15
Professor,English,research___german,15
Unknown,German,stunde___aktuell,15
Others,German,wissenschaft___wichtig,15
Others,German,uni___unbefristet,15
Others,German,vertrag___lang,15
PostDoc,German,wissenschaft___lang,15
Others,German,jahr___halb,15
PostDoc,English,germany___permanent,15
Professor,German,wissenschaft___wichtig,15
PostDoc,English,position___academic,15
Others,English,researcher___precarious,15
Unknown,English,germany___german,14
PostDoc,German,stelle___entfristet,14
PostDoc,English,work___good,14
Professor,English,germany___permanent,14
PostDoc,German,wissenschaft___schlecht,14
Others,German,hochschule___befristet,14
PostDoc,English,university___academic,14
PostDoc,German,wissenschaft___kurz,14
PostDoc,German,bundestag___aktuell,14
PostDoc,English,people___permanent,14
Unknown,German,wissenschaftler___prekär,14
PostDoc,German,forschung___wissenschaftlich,14
PostDoc,English,time___full,14
Others,German,problem___strukturell,14
PostDoc,German,forschung___befristet,14
Professor,German,entscheidung___früh,14
Professor,English,career___early,14
Professor,German,jahr___wissenschaftlich,14
Others,German,wissenschaft___richtig,14
PostDoc,German,deutschland___befristet,14
Unknown,German,thema___aktuell,14
Professor,German,uni___unbefristet,14
Others,English,position___permanent,14
PostDoc,German,vertrag___aktuell,14
PostDoc,German,uni___prekär,14
Professor,German,forschung___unbefristet,14
PostDoc,English,research___precarious,14
PostDoc,German,arbeit___wissenschaftlich,14
PostDoc,German,jahr___prekär,14
Professor,German,wissenschaft___lang,14
Professor,English,professor___german,14
PostDoc,German,jahr___halb,14
PostDoc,German,jahr___schön,14
PostDoc,German,jahr___groß,14
PostDoc,German,professur___wissenschaftlich,14
PostDoc,German,forschung___innovativ,14
Professor,English,contract___temporary,14
Others,German,arbeitsbedingung___aktuell,14
PostDoc,English,academic___permanent,14
PostDoc,English,problem___academic,14
Others,German,uni___deutsch,14
PostDoc,English,researcher___precarious,14
Unknown,German,forschung___befristet,13
PostDoc,English,change___german,13
Others,German,nachwuchs___prekär,13
Professor,German,jahr___akademisch,13
Professor,English,people___academic,13
PostDoc,German,uni___aktuell,13
PostDoc,German,problem___wissenschaftlich,13
Professor,German,wissenschaft___deutsch,13
PostDoc,German,zeit___kurz,13
Unknown,German,vertrag___kurz,13
Others,German,mittelbau___prekär,13
Others,German,jahr___nächst,13
Professor,German,arbeitsbedingung___fair,13
PostDoc,German,uni___groß,13
Unknown,German,uni___deutsch,13
PostDoc,German,karriere___akademisch,13
Unknown,German,wissenschaft___echt,13
Professor,German,wissenschaft___befristet,13
PostDoc,English,academic___precarious,13
Unknown,German,forschung___prekär,13
Others,German,uni___wissenschaftlich,13
Others,German,mittelbau___wissenschaftlich,13
Others,German,problem___groß,13
Professor,German,vertrag___kurz,13
Others,German,forschung___gut,13
Professor,German,karriere___akademisch,13
Others,English,job___permanent,13
Professor,German,system___gut,13
Professor,German,postdoc___befristet,13
Professor,German,vertrag___lang,13
Others,German,jahr___deutsch,13
PostDoc,German,wissenschaftler___unbefristet,13
Professor,German,jahr___kurz,13
PostDoc,German,vertrag___kurz,13
PostDoc,German,vertrag___lang,13
PostDoc,German,wissenschaft___wert,13
Professor,German,uni___gut,13
Unknown,German,jahr___prekär,13
Professor,German,jahr___nächst,13
Others,English,contract___permanent,13
PostDoc,German,arbeitsvertrag___befristet,13
Professor,German,zeit___kurz,13
Professor,German,uni___lang,13
Professor,German,vertrag___unbefristet,13
PostDoc,German,jahr___entfristet,13
Professor,English,university___academic,13
Professor,English,colleague___german,13
Professor,German,jahr___deutsch,13
Professor,English,career___german,13
Professor,German,postdoc___entfristet,13
PostDoc,English,academia___great,13
Professor,German,wissenschaft___lieb,13
Professor,German,jahr___früh,13
Professor,English,term___short,13
Professor,German,professur___dauerstell,13
Professor,German,jahr___promovierend,13
PostDoc,German,befristung___unbefristet,12
Professor,English,researcher___german,12
PostDoc,German,thread___lesenswert,12
PostDoc,German,wissenschaft___groß,12
Others,German,jahr___unbefristet,12
Professor,English,university___permanent,12
PostDoc,English,postdoc___academic,12
