Category,Language,Aspects,Count
PostDoc,English,condition___work,88
Others,German,arbeitsbedingung___wissenschaft,79
PostDoc,German,jahr___wissenschaft,76
PostDoc,German,jahr___uni,75
PostDoc,English,academia___work,68
PostDoc,English,academic___system,68
Unknown,German,jahr___promotion,64
PostDoc,German,sauerei___universität,64
PostDoc,German,arbeitsbedingung___wissenschaft,64
PostDoc,German,arbeit___wissenschaft,62
Professor,German,jahr___promotion,60
Professor,German,arbeitsbedingung___wissenschaft,56
PostDoc,German,jahr___postdoc,54
Others,German,arbeit___wissenschaft,54
PostDoc,German,jahr___promotion,53
PostDoc,German,jahr___vertrag,52
PostDoc,German,jahr___stelle,52
Professor,German,forschung___wissenschaft,52
Unknown,German,jahr___vertrag,52
Others,German,jahr___wissenschaft,50
Others,German,forschung___wissenschaft,47
PostDoc,German,forschung___jahr,46
Professor,German,jahr___zeit,46
Others,German,jahr___vertrag,46
PostDoc,English,academic___work,46
PostDoc,German,forschung___wissenschaft,45
PostDoc,German,jahr___monat,44
Professor,German,wissenschaft___wissenschaftler,44
Professor,German,jahr___uni,44
Professor,German,jahr___professur,44
Professor,German,jahr___vertrag,43
Unknown,German,jahr___wissenschaft,43
Professor,German,jahr___wissenschaft,42
PostDoc,German,jahr___system,42
PostDoc,English,contract___year,41
Unknown,German,jahr___uni,41
Others,German,jahr___uni,40
Professor,German,forschung___lehre,40
Others,German,hochschule___wissenschaft,40
PostDoc,English,contract___work,40
PostDoc,German,jahr___zeit,40
PostDoc,English,academia___year,39
Others,German,jahr___promotion,39
PostDoc,English,contract___term,39
Professor,German,forschung___zeit,39
PostDoc,English,academic___job,38
PostDoc,English,academic___career,38
PostDoc,English,academia___germany,37
PostDoc,English,academic___germany,37
Professor,English,academic___germany,37
Professor,English,academic___system,37
Professor,German,jahr___stelle,36
Professor,English,academic___job,36
Professor,German,arbeit___wissenschaft,36
PostDoc,English,academia___contract,36
PostDoc,German,karriere___wissenschaft,36
PostDoc,German,system___wissenschaft,35
Professor,English,academic___career,35
PostDoc,German,jahr___wissenschaftler,34
Others,German,wissenschaft___wissenschaftler,34
Others,German,arbeitsbedingung___hochschule,34
PostDoc,English,academia___academic,34
PostDoc,English,germany___year,33
PostDoc,English,academia___people,33
PostDoc,German,uni___vertrag,33
Professor,English,academia___academic,33
Others,English,contract___term,33
PostDoc,English,contract___germany,33
Professor,German,system___wissenschaft,33
